uuid,city,type,subtype,timestamp
92cb03ae-9a28-4105-b4d7-1d43fafd9115,Buin,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:53:26Z
dd39ade7-175a-4af4-851c-4124d556fb0c,Buin,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T11:50:30Z
63bb2de0-2a20-4e3f-9938-78f9d9a9cdea,Buin,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T12:20:04Z
84f9d90b-ce84-4eac-9a63-2ddcdb22ccd1,Buin,HAZARD,HAZARD_WEATHER_FOG,2025-04-30T03:06:43Z
941e0b72-9a93-40e1-8a7e-483557dc4636,Calera de Tango,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2025-04-29T05:34:08Z
cb93ebc8-dd2f-4efb-924e-53efe13d1fc4,Calera de Tango,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2025-04-29T13:53:37Z
8aa71c74-b5f0-4a1c-a843-e38c58a35f0a,Calera de Tango,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2025-04-29T13:55:31Z
d981a15b-44cc-40cb-a659-c6c5c39c8937,Calera de Tango,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2025-04-29T15:01:58Z
60204ff0-ceb0-4f8e-b8a5-cc8021c6913e,Calera de Tango,HAZARD,HAZARD_ON_ROAD_OBJECT,2025-04-29T16:38:46Z
fe4ee769-a85c-4467-b515-0ba67d880aaf,Calera de Tango,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-04-29T14:48:27Z
54119e01-3414-4f3d-9d3a-c439297c103d,Calera de Tango,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T08:50:41Z
79b1bc7d-1fa1-4442-b2ef-1846ffdfd1f1,Calera de Tango,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T08:54:27Z
c6e92473-390a-4f9e-b719-077357e07f65,Calera de Tango,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T09:17:00Z
c19ae8ff-ffe1-4498-9ba2-e88446001c4d,Calera de Tango,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:31:40Z
ee46901e-77f3-4a94-80ae-00f40052e312,Calera de Tango,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:47:46Z
f9f02602-6353-452c-b986-c497375a0f06,Calera de Tango,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:47:54Z
7c666cde-e99f-4a57-9789-3d93299cf4bc,Calera de Tango,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T11:01:46Z
58b647a6-4319-4043-8e58-95663a6d7de5,Calera de Tango,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T10:55:33Z
aa1d95f5-c276-4a49-9ed0-732bcd240289,Calera de Tango,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T11:15:11Z
4f08d67c-94e9-4aa4-96a1-0e2599387d38,Calera de Tango,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T17:08:41Z
5bf84496-8cc2-44bc-8d4b-5bbcda736571,Calera de Tango,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T22:02:40Z
d9a54f5d-d218-4bc1-8a20-1ca565e459de,Calera de Tango,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-23T10:48:31Z
c4613b22-e133-41e5-92a2-c383a505bbeb,Calera de Tango,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-23T10:50:49Z
80656651-bbc0-497e-9b16-a2b5fc9ffb61,Calera de Tango,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-23T11:51:43Z
60176606-5987-4157-8577-5cd3bf312a48,Calera de Tango,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T11:33:33Z
dde24b3d-a044-42a4-91d3-60622e2253c0,Calera de Tango,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T22:11:35Z
867a1574-1ca9-45c4-989a-0ec9e6363771,Calera de Tango,POLICE,POLICE_HIDING,2025-04-29T15:08:51Z
fe5a5aac-d4ad-4196-918f-a55653589fd9,Calera de Tango,POLICE,POLICE_HIDING,2025-04-29T18:15:39Z
c6cadd46-d6d2-4f60-bb58-2e47d4e4783a,Calera de Tango,POLICE,POLICE_VISIBLE,2025-04-23T16:31:56Z
4c5f29c2-2a7f-4b51-90f0-9b5d38a1954e,Cerrillos,HAZARD,HAZARD_ON_ROAD,2025-04-23T15:35:52Z
86c9ac5a-0792-4c1e-88e9-9a51b669d382,Cerrillos,HAZARD,HAZARD_ON_ROAD,2025-04-29T22:26:28Z
913ec9da-7614-44be-a2c8-9e76b6b61fd6,Cerrillos,HAZARD,HAZARD_ON_ROAD,2025-06-03T00:11:08Z
dbae92cb-841c-4a21-bf10-3b45c4d64e52,Cerrillos,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2025-04-29T17:03:38Z
00e59a9e-be61-4526-9202-7f7c2fddaa28,Cerrillos,HAZARD,HAZARD_ON_ROAD_OBJECT,2025-04-29T15:30:45Z
c1c20424-6769-48a0-8113-470c8b8fc744,Cerrillos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-04-29T17:27:10Z
2d4095dd-669a-4d2e-8540-7f2f960b5ac5,Cerrillos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-04-29T23:04:45Z
263fca89-eebf-4ab9-a557-bb8ddab56271,Cerrillos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-05-27T11:25:34Z
f5e52653-0d8e-4749-a945-b6ebd8032a46,Cerrillos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-06-02T22:12:55Z
da3c47f6-4c41-4d2a-a8cf-48b283002a1b,Cerrillos,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,2025-04-29T21:46:01Z
b8294b69-44f6-4402-a906-100e7bc5a539,Cerrillos,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,2025-04-29T22:32:13Z
71bdcf07-ee5c-4cde-8df7-235662f96593,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-23T11:31:30Z
a29a8b1f-478f-43ad-a2d4-3f299419eb02,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-23T13:41:51Z
90260ec2-1e98-4106-8c27-3a2906a52ce9,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-23T15:40:42Z
5c47af95-5f22-4057-bd97-0f031653f70b,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-23T16:54:34Z
b26f02ef-e0a0-4920-a276-bf05349d42b4,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-23T17:02:43Z
010434f9-14af-46c8-a464-44898c21ae3b,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-23T17:44:39Z
993589df-0c5f-4164-bd4e-ff26a6a77981,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-29T09:58:49Z
788f4ae2-fba3-4dd6-a610-e4b6c5845c01,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-29T19:07:18Z
67e597d7-4a20-4c36-84bd-604e9b9c136d,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-29T19:16:31Z
15f709d5-d08f-42c6-a34e-3946a96b17b1,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-29T21:11:26Z
85855f0a-03dd-47f0-a32e-3b8568a7ad48,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-29T21:19:29Z
5989ce42-e303-48d8-a936-ec4068930d27,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-29T23:54:47Z
8becbf9a-89e7-4449-b58f-38ae74aa528c,Cerrillos,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2025-04-30T00:50:28Z
9c9e907b-10ba-422d-854a-848f91c67e85,Cerrillos,HAZARD,HAZARD_WEATHER,2025-04-29T10:26:03Z
425515cc-cd25-43a7-8948-8aab7cc3f8e4,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:10:51Z
0c819b3f-5bd1-4f6e-bcce-87a4a5f34a84,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:35:31Z
1979fbdf-0db9-4b59-b2ed-cc98a547f105,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:37:01Z
e3910ae1-54f6-4772-9c7c-f9c2a29549e0,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:44:54Z
2e7f9175-1750-4670-b85d-21b1e82d2e5d,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:45:59Z
65766768-1b1d-4a77-ae31-66be119a6d86,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:50:03Z
8c6ce56d-cd1f-4b7e-87cd-019e15f16f5f,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T10:58:15Z
471bbc41-ec09-4d2a-bf5b-e2f50ab0dab2,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T11:02:17Z
2eebef38-e2e2-4683-a2c8-e4c1c5dd2bc7,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T11:03:00Z
7742dd7c-5005-4de3-8d16-baa2618104ae,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T11:35:39Z
c51f20a6-d313-4181-b37d-810a83acdc6e,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-30T02:32:39Z
7b0dd6e6-0717-4926-94ce-5c13af55aa79,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-30T02:33:48Z
e31e0fc9-beca-4a85-80a6-3250a28fdce2,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-30T03:00:00Z
b6d14069-4bd8-4c60-94a4-2a904f776db9,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-30T03:01:14Z
8e0c9351-ad76-4a22-b832-9ed158dd6d0d,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-30T03:04:41Z
8cee3e90-fcde-44ad-a28d-99e835bfcee0,Cerrillos,HAZARD,HAZARD_WEATHER_FOG,2025-04-30T03:12:52Z
23390300-31f2-4208-9f60-caa90c22431b,Cerrillos,HAZARD,HAZARD_WEATHER_HEAVY_SNOW,2025-04-30T03:06:43Z
aba86fc4-82dd-4fe8-8932-61a416e4d881,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T10:17:31Z
399ec5c1-f04a-4341-b391-11ae473a64f7,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T10:28:31Z
cf26a18e-0eeb-46c4-a508-e21e6d138829,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T11:08:04Z
d9f499ea-20f4-4d5c-99a0-80d78769c760,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T11:10:08Z
d7ad8316-10f8-4d09-94e7-6281daf17509,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T11:18:08Z
c12e404a-441f-4413-92f9-709e36f01bff,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T14:00:57Z
8eb44796-be5a-4275-96dc-500da39cce1c,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T15:28:48Z
d190fa67-9268-4963-ad51-2fca16756260,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-23T17:31:33Z
9dae1fbc-018c-4344-bb9a-5c317b7a3d6d,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T10:20:16Z
2d96e8e5-6f28-4d02-a290-1a2be11e7e10,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T10:27:03Z
9ef8cbec-c822-4292-98c6-d06cf2bb79cb,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T12:32:06Z
b4af3665-1ea6-486b-afd0-42a446b28f9c,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T16:12:59Z
2e278d6b-aa83-4950-a974-726215229b62,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T17:03:05Z
ce3f7fa9-9f77-43fd-ae30-0620a169e2c8,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T19:26:27Z
963fef6a-bf2e-438d-9947-140949dc5aaa,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T20:35:51Z
68f4be57-02ba-4675-bf67-16a9b9cf0b57,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T20:51:52Z
78413514-97d8-4ef7-9ff9-ba131fdbf09c,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T21:24:35Z
0940e594-bc01-4451-aba4-e23b0d44567e,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T21:57:15Z
29de5521-b1ad-46cc-8086-6896a93aabb7,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T22:31:09Z
c9ed776c-a3db-40b7-8ccf-5d6043206005,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-04-29T23:11:02Z
1f37a2b3-5ff5-4e0a-9b66-ea291b9d4a25,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-06-03T10:52:36Z
fe1166b4-c15f-48e2-bb6d-27b206a9160f,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-06-03T11:06:24Z
5ce212a6-bb59-4c80-99e4-7f98ed6a44fb,Cerrillos,JAM,JAM_HEAVY_TRAFFIC,2025-06-03T12:12:48Z
d120f307-ff8d-4a16-985b-17c22724761b,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-23T11:15:44Z
35d74e77-e3ef-407f-b332-0dfdd32e0087,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T10:23:58Z
cb06d6bb-971b-4dd1-8cab-97953761f06a,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T11:31:32Z
95403d76-4e67-4d9e-a579-a26acf9854d0,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T12:52:17Z
3fbebf0f-13da-4769-9ef9-cd7c000e41df,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T13:01:10Z
162e4fda-add2-4031-9591-e803177e9374,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T19:02:53Z
3d4c7344-3174-4e16-8a9c-33460ce818f8,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T19:47:25Z
a111a540-c37f-418c-ad64-39ae951dfb59,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T21:24:20Z
5083b047-1de5-43a4-932a-efbece2edde2,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-04-29T23:12:47Z
f98be046-2246-4eb0-a9cc-389ebeee90aa,Cerrillos,JAM,JAM_STAND_STILL_TRAFFIC,2025-06-03T13:05:14Z
6207dd47-e618-421e-8362-3553c7a1b1aa,Cerrillos,POLICE,POLICE_WITH_MOBILE_CAMERA,2025-06-03T13:27:11Z
1a7a827b-a4c8-43fd-9067-19cf23baf585,Cerro Navia,HAZARD,HAZARD_ON_ROAD,2025-04-29T10:48:22Z
c8594246-3668-4574-91bf-e4e68415f2ca,Cerro Navia,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-06-03T13:33:56Z
c9decc5c-0255-4f10-9aa0-66043988ce66,Cerro Navia,HAZARD,HAZARD_WEATHER_FOG,2025-04-29T12:27:07Z
